system_id,model_id,model_name,dataset,pesq,stoi,lsd_db,mcd_db
Baseline,griffin_lim,Griffin-Lim STFT,LJSpeech,4.059,0.998,3.03,3.86
M1,rndvoc,RNDVoC,LJSpeech,4.232,0.992,6.56,9.86
M2,flow2gan,Flow2GAN (4-step),LJSpeech,4.487,0.998,6.49,7.74
M3,vocos_mel_24khz,Vocos,LJSpeech,3.831,0.984,7.06,9.22
M4,bridgevoc,BridgeVoC,LJSpeech,4.411,0.996,6.62,9.64
M5,periodwave_turbo,PeriodWave-Turbo (4-step),LJSpeech,4.419,0.996,7.08,11.26
M6,comvo_base,ComVo-Base,LJSpeech,3.914,0.986,7.05,9.27
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),LJSpeech,4.381,0.996,6.6,6.44
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),LJSpeech,3.934,0.987,7.09,9.88
M9,comvo_large,ComVo-Large,LJSpeech,4.094,0.991,6.87,7.01
M10,wavefm,WaveFM (1-step),LJSpeech,3.71,0.978,7.18,11.94
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),LJSpeech,3.147,0.968,7.8,18.81
M12,freev,FreeV,LJSpeech,3.593,0.975,6.83,14.77
M13,rfwave_libritts_24k,RFWave,LJSpeech,4.101,0.988,8.46,37.09
M14,periodwave_24k,PeriodWave (16-step),LJSpeech,4.219,0.989,10.05,40.58
Baseline,griffin_lim,Griffin-Lim STFT,LibriTTS,3.925,0.994,3.2,4.57
M1,rndvoc,RNDVoC,LibriTTS,4.229,0.99,6.54,9.07
M2,flow2gan,Flow2GAN (4-step),LibriTTS,4.495,0.995,6.47,6.07
M3,vocos_mel_24khz,Vocos,LibriTTS,3.575,0.978,7.08,8.95
M4,bridgevoc,BridgeVoC,LibriTTS,4.401,0.993,6.68,8.93
M5,periodwave_turbo,PeriodWave-Turbo (4-step),LibriTTS,4.398,0.994,6.92,9.02
M6,comvo_base,ComVo-Base,LibriTTS,3.63,0.978,7.19,10.99
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),LibriTTS,4.387,0.994,6.59,5.91
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),LibriTTS,3.837,0.984,7.03,8.91
M9,comvo_large,ComVo-Large,LibriTTS,3.877,0.985,6.96,7.78
M10,wavefm,WaveFM (1-step),LibriTTS,3.527,0.973,7.12,11.69
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),LibriTTS,2.917,0.96,7.71,16.77
M12,freev,FreeV,LibriTTS,2.806,0.95,7.1,17.49
M13,rfwave_libritts_24k,RFWave,LibriTTS,3.937,0.984,8.64,34.08
M14,periodwave_24k,PeriodWave (16-step),LibriTTS,4.179,0.987,9.73,37.22
Baseline,griffin_lim,Griffin-Lim STFT,VCTK,3.778,0.988,3.16,4.63
M1,rndvoc,RNDVoC,VCTK,4.165,0.976,6.45,8.67
M2,flow2gan,Flow2GAN (4-step),VCTK,4.488,0.99,6.47,6.4
M3,vocos_mel_24khz,Vocos,VCTK,3.546,0.953,7.04,8.36
M4,bridgevoc,BridgeVoC,VCTK,4.382,0.984,6.52,7.91
M5,periodwave_turbo,PeriodWave-Turbo (4-step),VCTK,4.354,0.982,6.89,9.39
M6,comvo_base,ComVo-Base,VCTK,3.697,0.961,7.05,8.28
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),VCTK,4.375,0.988,6.53,5.62
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),VCTK,3.845,0.967,6.96,9.02
M9,comvo_large,ComVo-Large,VCTK,3.9,0.974,6.87,6.15
M10,wavefm,WaveFM (1-step),VCTK,3.573,0.955,7.17,15.68
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),VCTK,2.94,0.919,7.55,16.38
M12,freev,FreeV,VCTK,2.443,0.904,7.2,18.15
M13,rfwave_libritts_24k,RFWave,VCTK,3.692,0.878,9.23,47.48
M14,periodwave_24k,PeriodWave (16-step),VCTK,4.187,0.936,11.49,45.06
Baseline,griffin_lim,Griffin-Lim STFT,Free_ST,3.875,0.996,3.2,3.63
M1,rndvoc,RNDVoC,Free_ST,4.265,0.992,6.71,7.84
M2,flow2gan,Flow2GAN (4-step),Free_ST,4.486,0.997,6.59,6.36
M3,vocos_mel_24khz,Vocos,Free_ST,3.634,0.976,7.12,7.74
M4,bridgevoc,BridgeVoC,Free_ST,4.395,0.995,6.7,7.32
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Free_ST,4.407,0.996,7.0,9.54
M6,comvo_base,ComVo-Base,Free_ST,3.779,0.981,7.1,7.26
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Free_ST,4.386,0.996,6.74,5.3
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Free_ST,3.851,0.983,7.08,8.49
M9,comvo_large,ComVo-Large,Free_ST,3.971,0.987,6.94,5.39
M10,wavefm,WaveFM (1-step),Free_ST,3.696,0.974,7.05,9.54
M11,hifigan_universal_v1,HiFi-GAN (Universal V1),Free_ST,3.048,0.954,7.96,16.14
M12,freev,FreeV,Free_ST,3.065,0.948,7.36,13.88
M13,rfwave_libritts_24k,RFWave,Free_ST,3.458,0.979,9.87,52.28
M14,periodwave_24k,PeriodWave (16-step),Free_ST,4.052,0.985,13.02,52.44
