system_id,model_id,model_name,family,phonetic_class,lsd_db,f0_error_cents,boundary_error_db
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Vowels,6.286,3.5,5.34
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Stops / Plosives,6.527,5.4,8.81
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Fricatives,6.698,0.0,8.57
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Affricates,6.778,0.0,8.68
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Nasals,6.552,4.0,6.22
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Liquids,6.362,4.0,6.04
M7,bigvgan_v2_24khz_100band_256x,BigVGAN-v2 (112M),Anti-Aliased Snake GAN,Glides,6.456,4.0,6.13
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Vowels,7.181,4.3,6.1
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Stops / Plosives,7.161,6.5,9.67
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Fricatives,7.25,0.0,9.28
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Affricates,7.093,0.0,9.08
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Nasals,7.443,4.2,7.07
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Liquids,7.411,4.2,7.04
M8,bigvgan_base_24khz_100band,BigVGAN-Base (14M),Anti-Aliased Snake GAN,Glides,7.503,4.2,7.13
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Vowels,7.285,4.6,6.19
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Stops / Plosives,7.265,6.8,9.81
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Fricatives,7.257,0.0,9.29
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Affricates,7.376,0.0,9.44
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Nasals,7.521,4.4,7.14
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Liquids,7.539,4.4,7.16
M3,vocos_mel_24khz,Vocos,Fourier / iSTFT ConvNeXt,Glides,7.364,4.4,7.0
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Vowels,7.026,3.9,5.97
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Stops / Plosives,7.1,6.1,9.59
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Fricatives,7.073,0.0,9.05
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Affricates,7.028,0.0,9.0
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Nasals,7.402,4.0,7.03
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Liquids,7.447,4.0,7.07
M9,comvo_large,ComVo-Large,Complex-Valued Fourier,Glides,7.369,4.0,7.0
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Vowels,7.246,4.4,6.16
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Stops / Plosives,7.168,6.6,9.68
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Fricatives,7.197,0.0,9.21
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Affricates,7.014,0.0,8.98
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Nasals,7.627,4.3,7.25
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Liquids,7.593,4.3,7.21
M6,comvo_base,ComVo-Base,Complex-Valued Fourier,Glides,7.341,4.3,6.97
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Vowels,6.751,3.5,5.74
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Stops / Plosives,6.988,5.4,9.43
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Fricatives,7.109,0.0,9.1
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Affricates,7.078,0.0,9.06
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Nasals,7.027,4.0,6.68
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Liquids,6.897,4.0,6.55
M5,periodwave_turbo,PeriodWave-Turbo (4-step),Diffusion / Turbo SDE,Glides,6.81,4.0,6.47
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Vowels,8.625,3.7,7.33
M14,periodwave_24k,PeriodWave (16-step),Diffusion / Full SDE,Stops / Plosives,9.304,5.9,12.56
