,bigvgan_base_24khz_100band,bigvgan_v2_24khz_100band_256x,bridgevoc,comvo_base,comvo_large,flow2gan,freev,griffin_lim,hifigan_universal_v1,periodwave_24k,periodwave_turbo,rfwave_libritts_24k,rndvoc,vocos_mel_24khz,wavefm
bigvgan_base_24khz_100band,0.0,-1.5849223875057137,-3.823161734376882,-1.617824914506258,1.1061572579556014,-4.503161662726711,5.955293515694038,-8.453812181572772,5.328529752429688,5.732956317840049,-1.6888534788977978,7.267872568200282,-5.313509123918578,-3.777710844043369,4.829037490301943
bigvgan_v2_24khz_100band_256x,1.5849223875057137,0.0,-2.2382393468711683,-0.0329025270005445,2.691079645461315,-2.918239275220998,7.540215903199751,-6.868889794067059,6.913452139935401,7.317878705345763,-0.1039310913920843,8.852794955705996,-3.728586736412865,-2.192788456537656,6.413959877807656
bridgevoc,3.823161734376882,2.2382393468711683,0.0,2.205336819870624,4.929318992332483,-0.6799999283498295,9.77845525007092,-4.63065044719589,9.15169148680657,9.556118052216933,2.134308255479084,11.091034302577164,-1.4903473895416963,0.0454508903335124,8.652199224678824
comvo_base,1.617824914506258,0.0329025270005445,-2.205336819870624,0.0,2.72398217246186,-2.8853367482204533,7.573118430200296,-6.835987267066514,6.946354666935946,7.350781232346307,-0.0710285643915398,8.88569748270654,-3.69568420941232,-2.159885929537112,6.446862404808201
comvo_large,-1.1061572579556014,-2.691079645461315,-4.929318992332483,-2.72398217246186,0.0,-5.609318920682313,4.8491362577384365,-9.559969439528372,4.222372494474087,4.626799059884448,-2.795010736853399,6.161715310244681,-6.41966638187418,-4.883868101998971,3.722880232346341
flow2gan,4.503161662726711,2.918239275220998,0.6799999283498295,2.8853367482204533,5.609318920682313,0.0,10.45845517842075,-3.9506505188460608,9.8316914151564,10.23611798056676,2.814308183828913,11.771034230926992,-0.8103474611918671,0.7254508186833419,9.332199153028654
freev,-5.955293515694038,-7.540215903199751,-9.77845525007092,-7.573118430200296,-4.8491362577384365,-10.45845517842075,0.0,-14.40910569726681,-0.6267637632643499,-0.2223371978539887,-7.644146994591836,1.3125790525062442,-11.268802639612616,-9.733004359737407,-1.1262560253920952
griffin_lim,8.453812181572772,6.868889794067059,4.63065044719589,6.835987267066514,9.559969439528372,3.9506505188460608,14.40910569726681,0.0,13.78234193400246,14.18676849941282,6.764958702674974,15.721684749773054,3.1403030576541937,4.676101337529403,13.282849671874716
hifigan_universal_v1,-5.328529752429688,-6.913452139935401,-9.15169148680657,-6.946354666935946,-4.222372494474087,-9.8316914151564,0.6267637632643499,-13.78234193400246,0.0,0.4044265654103611,-7.017383231327486,1.939342815770594,-10.642038876348266,-9.106240596473056,-0.4994922621277453
periodwave_24k,-5.732956317840049,-7.317878705345763,-9.556118052216933,-7.350781232346307,-4.626799059884448,-10.23611798056676,0.2223371978539887,-14.18676849941282,-0.4044265654103611,0.0,-7.421809796737847,1.534916250360233,-11.046465441758627,-9.510667161883418,-0.9039188275381064
periodwave_turbo,1.6888534788977978,0.1039310913920843,-2.134308255479084,0.0710285643915398,2.795010736853399,-2.814308183828913,7.644146994591836,-6.764958702674974,7.017383231327486,7.421809796737847,0.0,8.95672604709808,-3.624655645020781,-2.0888573651455715,6.51789096919974
rfwave_libritts_24k,-7.267872568200282,-8.852794955705996,-11.091034302577164,-8.88569748270654,-6.161715310244681,-11.771034230926992,-1.3125790525062442,-15.721684749773054,-1.939342815770594,-1.534916250360233,-8.95672604709808,0.0,-12.58138169211886,-11.045583412243651,-2.4388350778983394
rndvoc,5.313509123918578,3.728586736412865,1.4903473895416963,3.69568420941232,6.41966638187418,0.8103474611918671,11.268802639612616,-3.1403030576541937,10.642038876348266,11.046465441758627,3.624655645020781,12.58138169211886,0.0,1.535798279875209,10.14254661422052
vocos_mel_24khz,3.777710844043369,2.192788456537656,-0.0454508903335124,2.159885929537112,4.883868101998971,-0.7254508186833419,9.733004359737407,-4.676101337529403,9.106240596473056,9.510667161883418,2.0888573651455715,11.045583412243651,-1.535798279875209,0.0,8.606748334345312
wavefm,-4.829037490301943,-6.413959877807656,-8.652199224678824,-6.446862404808201,-3.722880232346341,-9.332199153028654,1.1262560253920952,-13.282849671874716,0.4994922621277453,0.9039188275381064,-6.51789096919974,2.4388350778983394,-10.14254661422052,-8.606748334345312,0.0
