model_id,observed_prism_v_score,mean_rtf,peak_vram_mib,params_m,M_eff,B_Free_ST,B_LJSpeech,B_LibriTTS,B_VCTK,Q,rank
griffin_lim,79.31206105222525,0.007248,73.31,0.0,0.9971843701627884,0.7933773036313526,0.8125726133706944,0.7790774664220415,0.7911639387913304,0.791030919719447,1
rndvoc,76.17175799457105,0.023525,432.89,3.572361,0.8133661994747772,0.7629433143913557,0.7628272104709718,0.7537551331436786,0.7632981879264493,0.759310686813849,2
flow2gan,75.36141053337919,0.063606,472.65,78.949542,0.5900810626379479,0.746564784279044,0.754984470958856,0.7499478473289122,0.757582293368617,0.7511253589230221,3
bridgevoc,74.68141060502936,0.079124,511.29,7.888134,0.632810679548498,0.7434952364754772,0.750740930393266,0.738065074686616,0.7509494429804721,0.7442566727780743,4
vocos_mel_24khz,74.63595971469584,0.002607,122.79,13.53165,0.9578709801099412,0.7381101873786192,0.75925937687926,0.7363681232247683,0.7489287848060929,0.7437975728757156,5
periodwave_turbo,72.54710234955027,0.134153,901.17,29.795456,0.5239915064102982,0.7183443625477266,0.7309635066962296,0.7202944514837542,0.7255598006689917,0.7226980035308108,6
comvo_base,72.47607378515873,0.020613,343.85,13.283841,0.8132673955994669,0.7356279489817302,0.7424365094809321,0.6990245972281266,0.7342564201395514,0.7219805432844316,7
bigvgan_v2_24khz_100band_256x,72.44317125815819,0.185941,1073.45,112.414512,0.4549253762779983,0.7183757692443985,0.7274578670108262,0.7173903288799431,0.7276424498355402,0.7216481945268504,8
bigvgan_base_24khz_100band,70.85824887065247,0.089323,723.01,14.015041,0.5975271339252773,0.7000500222827394,0.7131176557385646,0.701734336083194,0.7132701822247324,0.7056388774813381,9
comvo_large,69.75209161269687,0.13284,1566.95,115.347969,0.4708718715367443,0.6993432553128581,0.7092741819919303,0.6805742096908912,0.7027383186816032,0.694465571845423,10
wavefm,66.02921138035053,0.057642,255.37,19.528161,0.6543223225078086,0.6704220391078113,0.6571698075478398,0.648064701597873,0.6606567198732363,0.6568607210136417,11
hifigan_universal_v1,65.52971911822279,0.031306,403.38,13.926017,0.7431827359879846,0.6512557487338074,0.6624779757510337,0.6448156672938763,0.6557590256141779,0.651815344628513,12
periodwave_24k,65.12529255281243,1.0502,929.51,29.795456,0.3751383430787474,0.6448565036198936,0.6623150018520017,0.6419954049241041,0.6475207700387088,0.6477302278061862,13
freev,64.90295535495844,0.005042,356.87,18.220557,0.9398424308976064,0.6636669231600943,0.7251934691313084,0.625688675076033,0.607180011791902,0.6454843975248328,14
rfwave_libritts_24k,63.59037630245219,0.370552,976.62,18.139296,0.4548619899849016,0.6274245790481148,0.6429137947089327,0.6313128041634879,0.6320772803067104,0.6322260232570929,15
